                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9472,                  3.771,                 4.3509,                0.00333,                   0.75,                0.00882,                 0.0026,                 2.6984,                  3.793,                 4.1589,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.1028,                 3.7379,                 4.3195,                0.00333,                   0.75,                0.00997,                0.00302,                 2.6989,                 3.7924,                 4.1589,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 2.9182,                 3.6383,                 4.3561,                0.00333,                   0.75,                0.01007,                0.00311,                 2.6992,                 3.7911,                 4.1588,             0.00015683,             0.00015683,             0.00015683
                      4,                 3.0398,                 3.5828,                 4.2574,                0.00333,                   0.75,                0.01055,                 0.0033,                 2.6989,                 3.7886,                 4.1586,             0.00021347,             0.00021347,             0.00021347
                      5,                 2.9862,                 3.4539,                 4.2848,                0.00333,                   0.75,                0.01505,                0.00307,                 2.6988,                 3.7844,                 4.1585,             0.00026891,             0.00026891,             0.00026891
                      6,                 2.8941,                 3.4837,                 4.1738,                0.00333,                   0.75,                0.01137,                0.00269,                 2.7002,                 3.7813,                 4.1586,             0.00032317,             0.00032317,             0.00032317
                      7,                 3.0329,                 3.4165,                 4.1647,                0.00333,                   0.75,                0.00531,                0.00195,                 2.7026,                 3.7749,                 4.1596,             0.00037624,             0.00037624,             0.00037624
                      8,                 2.8953,                 3.3051,                 4.1208,                0.00333,                   0.75,                0.00784,                 0.0023,                 2.7048,                 3.7722,                 4.1606,             0.00042812,             0.00042812,             0.00042812
                      9,                 2.9097,                 3.2565,                  4.057,                0.00333,                   0.75,                0.00505,                 0.0018,                 2.7092,                 3.7677,                 4.1641,             0.00047882,             0.00047882,             0.00047882
                     10,                 2.9533,                 3.4129,                 4.0469,                0.00333,                   0.75,                0.00503,                 0.0018,                 2.7119,                 3.7664,                 4.1672,             0.00052832,             0.00052832,             0.00052832
                     11,                 3.0369,                 3.1336,                 3.9936,                0.00333,                   0.75,                0.00809,                0.00206,                 2.7168,                 3.7622,                 4.1763,             0.00057664,             0.00057664,             0.00057664
                     12,                 2.7863,                 3.3007,                 3.9581,                0.00333,                   0.75,                0.00793,                0.00222,                 2.7244,                 3.7578,                 4.1851,             0.00062377,             0.00062377,             0.00062377
                     13,                 2.9221,                 3.2114,                 3.9329,                0.00333,                   0.75,                0.00963,                0.00242,                 2.7485,                 3.7423,                 4.2113,             0.00066971,             0.00066971,             0.00066971
                     14,                 2.9722,                 3.1847,                  3.935,                0.00333,                   0.75,                0.01043,                0.00241,                 2.7635,                 3.7498,                 4.2271,             0.00071447,             0.00071447,             0.00071447
                     15,                 2.8455,                 3.3271,                 3.8906,                0.00333,                   0.75,                0.01065,                0.00217,                 2.7822,                 3.7025,                 4.2707,             0.00075803,             0.00075803,             0.00075803
                     16,                 3.0153,                 3.1257,                 3.8465,                0.00333,                   0.75,                0.01107,                0.00218,                 2.7949,                 3.6976,                 4.2911,             0.00080041,             0.00080041,             0.00080041
                     17,                 2.8658,                 3.0412,                 3.7888,                0.00333,                   0.75,                0.00853,                 0.0022,                 2.8209,                 3.7103,                 4.3185,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.8528,                 3.0536,                 3.7637,                0.00333,                   0.75,                0.00839,                0.00231,                 2.8199,                 3.6902,                 4.3259,              0.0008816,              0.0008816,              0.0008816
                     19,                 2.8622,                 2.9829,                 3.7062,                0.00333,                   0.75,                0.00742,                0.00232,                  2.829,                 3.6518,                 4.3568,             0.00092042,             0.00092042,             0.00092042
                     20,                 2.7475,                 3.1416,                 3.6911,                0.00333,                   0.75,                0.00974,                0.00267,                 2.8516,                 3.6447,                 4.3776,             0.00095804,             0.00095804,             0.00095804
                     21,                 2.7854,                 2.9956,                 3.6952,                0.00333,                   0.75,                0.00652,                  0.002,                 2.8573,                 3.6532,                 4.4007,             0.00099448,             0.00099448,             0.00099448
                     22,                 2.7614,                 2.8882,                 3.6288,                0.00222,                    0.5,                0.00407,                0.00124,                 2.8544,                  3.666,                 4.4362,              0.0010297,              0.0010297,              0.0010297
                     23,                 2.9151,                 2.9526,                 3.6149,                0.00222,                    0.5,                0.00463,                0.00124,                 2.8698,                 3.6685,                  4.436,              0.0010638,              0.0010638,              0.0010638
                     24,                 3.0085,                  2.911,                 3.6483,                0.00222,                    0.5,                0.00492,                0.00124,                 2.8701,                 3.6752,                 4.3861,              0.0010967,              0.0010967,              0.0010967
                     25,                 2.7614,                 2.9115,                 3.5601,                0.00222,                    0.5,                0.00804,                0.00182,                 2.8913,                 3.6955,                  4.286,              0.0011284,              0.0011284,              0.0011284
                     26,                  2.588,                 3.1323,                 3.5612,                0.00222,                    0.5,                0.00552,                0.00122,                 2.8482,                 3.6711,                 4.2933,              0.0011588,              0.0011588,              0.0011588
                     27,                 2.6557,                 2.8447,                 3.5876,                0.00222,                    0.5,                0.00242,                0.00084,                 2.7591,                 3.6971,                 4.3688,              0.0011882,              0.0011882,              0.0011882
                     28,                 2.7173,                  2.833,                 3.5285,                0.00222,                    0.5,                 0.0023,                0.00077,                 2.6691,                 3.6842,                 4.3649,              0.0012163,              0.0012163,              0.0012163
                     29,                 2.6307,                 2.8736,                 3.4103,                0.00222,                    0.5,                 0.0023,                0.00077,                 2.6691,                 3.6842,                 4.3649,              0.0012432,              0.0012432,              0.0012432
                     30,                 2.5648,                 2.8095,                 3.4024,                0.00333,                   0.75,                0.00472,                0.00176,                 2.6246,                 3.6402,                 4.3247,               0.001269,               0.001269,               0.001269
                     31,                  2.868,                 2.8217,                 3.5382,                0.00333,                   0.75,                0.00823,                0.00241,                 2.6496,                 3.6173,                 4.2578,              0.0012935,              0.0012935,              0.0012935
                     32,                  2.618,                 2.8258,                 3.3938,                0.00333,                   0.75,                0.00981,                0.00293,                 2.6448,                 3.5825,                 4.2171,              0.0013169,              0.0013169,              0.0013169
                     33,                 2.7318,                  2.931,                 3.3472,                0.00333,                   0.75,                0.00981,                0.00293,                 2.6448,                 3.5825,                 4.2171,              0.0013391,              0.0013391,              0.0013391
                     34,                  2.616,                 2.8474,                 3.3957,                0.00333,                   0.75,                0.01453,                0.00449,                 2.6263,                 3.6265,                 4.2549,              0.0013466,              0.0013466,              0.0013466
                     35,                  2.632,                 2.9498,                 3.4029,                0.00333,                   0.75,                0.04098,                0.01631,                 2.6466,                 3.6434,                 4.2418,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.5453,                 2.9331,                 3.3176,                0.00333,                   0.75,                0.07978,                0.02825,                 2.6676,                 3.7073,                 4.2492,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.6035,                 2.8711,                 3.3659,                0.00333,                   0.75,                0.07978,                0.02825,                 2.6676,                 3.7073,                 4.2492,               0.001307,               0.001307,               0.001307
                     38,                 2.5846,                 2.9275,                 3.3457,                0.00398,                   0.75,                0.14436,                 0.0354,                 2.7473,                  3.689,                 4.2373,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.4897,                 2.7877,                 3.2277,                 0.0051,                   0.75,                0.02988,                0.01054,                 2.7723,                  3.725,                 4.2523,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.4127,                 2.8547,                 3.2243,                0.00514,                  0.625,                0.01526,                0.00461,                 2.7644,                 3.7745,                 4.2843,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.5895,                 2.7157,                  3.262,                0.00514,                  0.625,                0.01526,                0.00461,                 2.7644,                 3.7745,                 4.2843,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.5241,                 2.6471,                 3.2261,                0.00568,                    0.5,                 0.0134,                0.00424,                 2.7946,                 3.7786,                 4.2898,               0.001208,               0.001208,               0.001208
                     43,                 2.5211,                 2.7537,                 3.2729,                0.00734,                  0.625,                0.01714,                0.00477,                 2.7814,                  3.747,                   4.35,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.7342,                 2.8789,                 3.2931,                0.00826,                  0.625,                0.01928,                0.00614,                 2.7992,                 3.7799,                  4.374,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.4819,                 2.6945,                 3.2159,                0.00826,                  0.625,                0.01928,                0.00614,                 2.7992,                 3.7799,                  4.374,              0.0011486,              0.0011486,              0.0011486
                     46,                  2.499,                 2.8013,                 3.2112,                0.00627,                    0.5,                 0.0146,                0.00522,                 2.8388,                 3.7313,                 4.3453,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.5367,                 2.8185,                 3.1789,                0.00503,                    0.5,                0.04821,                0.00891,                 2.9337,                 3.6504,                 4.3215,               0.001109,               0.001109,               0.001109
                     48,                 2.7011,                 2.8333,                 3.3388,                0.17278,                  0.125,                0.06261,                0.02108,                 2.8326,                 3.6163,                 4.1935,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.5256,                 2.7247,                 3.1584,                0.17278,                  0.125,                0.06261,                0.02108,                 2.8326,                 3.6163,                 4.1935,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.5113,                 2.8273,                 3.2595,                0.29674,                   0.25,                0.17401,                0.02922,                 2.8544,                 3.7369,                 4.2592,              0.0010496,              0.0010496,              0.0010496
